선수명,팀명,년도,타율,경기,타수,득점,홈런,출루율,장타율,출루율+장타율,득점권타율,추정득점,포지션,수비 승리 기여도,수비이닝 합계,도루시도,도루허용,도루성공률
장영석,키움,2019,0.247,119,372,41,7,0.310,0.344,0.654,0.287,39.0,"['3루수', '1루수']",-0.5145,732 1/3,0.0,0.0,-
임병욱,키움,2019,0.243,117,379,39,0,0.305,0.314,0.619,0.267,36.5,['중견수'],-0.798,904 2/3,12.0,10.0,83.3
허정협,키움,2019,0.235,37,68,3,0,0.312,0.250,0.562,0.3,6.1,"['좌익수', '우익수']",-0.0024999999999999953,107,0.0,0.0,-
송성문,키움,2019,0.227,103,308,33,3,0.269,0.328,0.597,0.229,26.9,"['3루수', '2루수', '1루수']",-0.012999999999999998,659,3.0,2.0,66.7
주효상,키움,2019,0.207,18,29,3,0,0.233,0.345,0.578,0.2,2.2,['포수'],-0.012,66,0.0,0.0,-
박정음,키움,2019,0.197,60,71,13,0,0.345,0.254,0.599,0.32,7.2,"['좌익수', '중견수', '우익수']",0.052,208 1/3,11.0,6.0,54.5
예진원,키움,2019,0.167,2,6,1,0,0.375,0.333,0.708,0.5,0.9,"['좌익수', '우익수']",-0.013500000000000002,18,0.0,0.0,-
임지열,키움,2019,0.133,11,15,0,0,0.235,0.200,0.435,0.25,0.3,"['3루수', '1루수']",-0.1065,30,0.0,0.0,-
김은성,키움,2019,0.125,5,8,1,0,0.300,0.125,0.425,0.0,0.2,"['2루수', '3루수']",-0.0465,23,0.0,0.0,-
김주형,키움,2019,0.000,3,1,0,0,0.000,0.000,0.000,0.0,-0.1,['2루수'],-0.013,3,0.0,0.0,-
윤영삼,키움,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
추재현,키움,2019,0.000,1,1,0,0,0.000,0.000,0.000,0.0,-0.1,['우익수'],0.065,4,0.0,0.0,-
임재현,SK,2019,0.667,6,3,1,0,0.667,0.667,1.334,0.0,0.9,"['우익수', '좌익수']",-0.0055,11,0.0,0.0,-
고종욱,SK,2019,0.323,137,492,76,3,0.347,0.421,0.768,0.341,68.6,['좌익수'],-0.042,524 2/3,41.0,31.0,75.6
