선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
로하스,좌익수,0.367,236,207,42,76,14,0,12,46,4,24,37,2,3,0,1,0.441,0.609,1.05,1,KT,50,0,1,0.46,0.322,48.833999999999996
김민혁,좌익수,0.3,12,10,0,3,0,0,0,2,0,2,1,0,0,0,0,0.417,0.3,0.717,1,KT,3,2,0,-0.075,0.286,1.902
배정대,중견수,0.268,77,71,6,19,3,0,1,9,0,4,22,0,0,0,2,0.299,0.352,0.651,1,KT,15,8,5,-0.583,0.232,8.184
배정대,중견수,0.37,32,27,3,10,1,1,1,2,0,4,3,0,0,0,1,0.438,0.593,1.031,2,KT,7,8,5,-0.583,0.232,6.715999999999998
황재균,3루수,0.303,40,33,6,10,1,0,1,4,0,6,6,0,0,0,1,0.4,0.424,0.824,2,KT,8,4,3,-0.034,0.238,6.212
로하스,좌익수,0.28,34,25,3,7,1,0,1,5,1,7,8,1,2,0,1,0.441,0.44,0.881,2,KT,5,0,1,0.46,0.322,5.196000000000001
김상수,유격수,0.176,19,17,2,3,0,0,0,2,0,2,6,0,0,0,0,0.263,0.176,0.439,2,KT,3,2,1,0.772,0.328,0.9120000000000001
김민혁,좌익수,0.175,64,57,3,10,1,0,0,5,1,5,6,4,0,1,0,0.254,0.193,0.447,2,KT,9,2,0,-0.075,0.286,1.9020000000000001
김상수,유격수,0.333,11,9,1,3,1,1,0,3,1,1,3,0,0,0,0,0.455,0.667,1.122,3,KT,1,2,1,0.772,0.328,2.416
로하스,좌익수,0.294,152,126,24,37,11,0,8,23,1,25,28,3,1,0,0,0.414,0.571,0.985,3,KT,18,0,1,0.46,0.322,27.525999999999996
문상철,1루수,0.158,42,38,4,6,0,0,2,4,1,2,8,3,0,1,0,0.22,0.316,0.536,3,KT,4,3,1,0.663,0.258,2.1060000000000003
장성우,포수,0.156,38,32,1,5,1,0,0,3,0,4,7,2,0,1,1,0.243,0.188,0.431,3,KT,4,4,0,1.092,0.286,1.984
장성우,포수,0.276,103,87,10,24,5,0,5,22,0,15,21,3,0,0,1,0.379,0.506,0.885,4,KT,14,4,0,1.092,0.286,17.041999999999998
문상철,1루수,0.276,143,123,17,34,2,0,5,18,4,15,37,1,1,0,1,0.371,0.415,0.786,4,KT,27,3,1,0.663,0.258,20.424
