¼±¼ö¸í,Æ÷Áö¼Ç,Å¸À²,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,Å¸Á¡,»ç±¸,º¼³Ý,»ïÁø,º´»ìÅ¸,°íÀÇ4±¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,Ãâ·çÀ²,ÀåÅ¸À²,OPS,Å¸¼ø,ÆÀ¸í,1·çÅ¸,µµ·çÇã¿ë,µµ·çÀúÁö,¼öºñ ½Â¸® ±â¿©µµ,µæÁ¡±ÇÅ¸À²,ÃßÁ¤µæÁ¡
È²¼ººó,ÁÂÀÍ¼ö,0.286,182,161,36,46,2,2,1,7,2,15,25,2,0,3,1,0.352,0.342,0.694,1,·Ôµ¥,41,37,5,-0.549,0.256,25.500000000000007
À±µ¿Èñ,Áß°ß¼ö,0.278,201,176,38,49,13,1,3,21,0,23,32,3,0,0,2,0.358,0.415,0.773,1,·Ôµ¥,32,5,3,0.121,0.337,26.424
È²¼ººó,ÁÂÀÍ¼ö,0.542,27,24,9,13,0,2,3,8,0,3,3,0,0,0,0,0.593,1.083,1.676,2,·Ôµ¥,8,37,5,-0.549,0.256,15.465999999999996
À±µ¿Èñ,Áß°ß¼ö,0.359,122,103,21,37,6,2,1,19,2,14,20,1,0,2,1,0.442,0.485,0.927,2,·Ôµ¥,28,5,3,0.121,0.337,21.199999999999996
³ª½Â¿±,1·ç¼ö,0.3,11,10,1,3,0,0,0,1,0,1,2,0,0,0,0,0.364,0.3,0.664,2,·Ôµ¥,3,0,0,-0.99,0.321,1.1940000000000002
°í½Â¹Î,2·ç¼ö,0.276,160,145,29,40,10,1,4,17,1,14,26,2,0,0,0,0.344,0.441,0.785,2,·Ôµ¥,25,4,2,0.181,0.348,21.282
Á¤ÈÆ,1·ç¼ö,0.222,52,45,7,10,3,0,2,4,0,7,9,1,0,0,0,0.327,0.422,0.749,2,·Ôµ¥,5,1,1,-0.342,0.27,6.188
·¹ÀÌ¿¹½º,¿ìÀÍ¼ö,0.335,176,158,24,53,9,1,5,29,1,14,24,5,0,0,3,0.386,0.5,0.886,3,·Ôµ¥,38,4,0,-0.17,0.417,29.157999999999998
°í½Â¹Î,2·ç¼ö,0.315,104,89,15,28,3,0,2,23,0,12,17,2,0,0,3,0.385,0.416,0.801,3,·Ôµ¥,23,4,2,0.181,0.348,15.443999999999994
¼ÕÈ£¿µ,3·ç¼ö,0.298,51,47,8,14,1,0,3,12,1,3,8,0,1,0,0,0.353,0.511,0.864,3,·Ôµ¥,10,6,4,-0.407,0.382,8.075999999999999
³ª½Â¿±,1·ç¼ö,0.25,13,12,1,3,2,0,0,2,0,1,1,1,0,0,0,0.308,0.417,0.725,3,·Ôµ¥,1,0,0,-0.99,0.321,1.0919999999999996
·¹ÀÌ¿¹½º,¿ìÀÍ¼ö,0.376,219,202,30,76,15,1,5,49,0,13,30,4,0,0,4,0.406,0.535,0.941,4,·Ôµ¥,55,4,0,-0.17,0.417,40.099999999999994
³ª½Â¿±,1·ç¼ö,0.336,139,119,19,40,13,2,1,20,0,19,26,1,0,0,1,0.424,0.504,0.928,5,·Ôµ¥,24,0,0,-0.99,0.321,24.022
¼ÕÈ£¿µ,3·ç¼ö,0.333,66,60,13,20,5,1,3,13,1,4,10,2,0,0,1,0.379,0.6,0.979,5,·Ôµ¥,11,6,4,-0.407,0.382,11.910000000000002
Á¤ÈÆ,1·ç¼ö,0.292,69,65,4,19,6,0,1,10,0,4,13,0,0,0,0,0.333,0.431,0.764,5,·Ôµ¥,12,1,1,-0.342,0.27,8.735999999999997
³ëÁøÇõ,À¯°Ý¼ö,0.143,33,28,2,4,1,0,0,2,0,4,8,0,0,0,1,0.242,0.179,0.421,5,·Ôµ¥,3,0,0,-0.062,0.2,1.726
