선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
이성규,우익수,0.294,19,17,3,5,0,0,1,1,0,2,2,0,0,0,0,0.368,0.471,0.839,1,삼성,4,8,2,0.588,0.294,3.824000000000001
김지찬,중견수,0.285,294,246,50,70,9,0,1,16,7,32,21,1,1,8,1,0.381,0.333,0.714,1,삼성,60,27,2,0.677,0.238,39.622
김헌곤,우익수,0.275,47,40,7,11,2,0,2,3,1,5,6,2,0,1,0,0.37,0.475,0.845,1,삼성,7,3,2,-0.013,0.288,6.4019999999999975
류지혁,2루수,0.2,11,10,1,2,1,0,0,1,0,1,3,0,0,0,0,0.273,0.3,0.573,1,삼성,1,7,4,0.277,0.313,0.7960000000000003
김현준,중견수,0.192,29,26,4,5,4,1,0,2,0,2,6,1,0,0,1,0.241,0.423,0.664,1,삼성,0,0,0,0.633,0.214,2.662
김헌곤,우익수,0.327,58,52,9,17,2,0,3,10,0,6,9,0,0,0,0,0.397,0.538,0.935,2,삼성,12,3,2,-0.013,0.288,10.478
류지혁,2루수,0.286,21,21,3,6,1,0,0,5,0,0,3,0,0,0,0,0.286,0.333,0.619,2,삼성,5,7,4,0.277,0.313,1.8259999999999992
이성규,우익수,0.261,26,23,1,6,0,0,1,5,1,1,10,0,0,1,0,0.32,0.391,0.711,2,삼성,5,8,2,0.588,0.294,3.850000000000001
이재현,유격수,0.253,174,150,28,38,11,0,7,27,1,22,36,2,0,0,1,0.351,0.467,0.818,2,삼성,20,1,0,0.852,0.348,25.262000000000004
김지찬,중견수,0.25,23,20,3,5,1,0,0,0,1,2,1,1,0,0,0,0.348,0.3,0.648,2,삼성,4,27,2,0.677,0.238,6.232
김현준,중견수,0.154,14,13,1,2,0,0,0,1,0,0,4,0,0,1,0,0.154,0.154,0.308,2,삼성,2,0,0,0.633,0.214,0.01799999999999998
이성규,우익수,0.167,15,12,2,2,1,0,0,2,2,0,5,1,0,1,0,0.286,0.25,0.536,3,삼성,1,8,2,0.588,0.294,1.4300000000000002
강민호,포수,0.348,78,69,11,24,2,0,4,17,1,7,12,2,0,0,1,0.41,0.551,0.961,4,삼성,18,2,0,0.726,0.314,14.763999999999998
김영웅,3루수,0.246,74,61,12,15,1,0,4,11,1,11,18,0,0,0,1,0.365,0.459,0.824,4,삼성,10,9,1,-0.308,0.298,12.946
이재현,유격수,0.3,34,30,2,9,2,0,0,3,0,4,6,0,1,0,0,0.382,0.367,0.749,5,삼성,7,1,0,0.852,0.348,4.451999999999999
류지혁,2루수,0.286,69,63,10,18,2,0,1,12,1,3,12,2,0,1,1,0.324,0.365,0.689,5,삼성,15,7,4,0.277,0.313,7.244
강민호,포수,0.283,67,60,8,17,2,0,3,9,0,6,6,6,1,0,1,0.343,0.467,0.81,5,삼성,12,2,0,0.726,0.314,8.302000000000001
김영웅,3루수,0.213,120,108,14,23,3,2,6,16,0,11,33,0,0,0,1,0.283,0.444,0.727,5,삼성,12,9,1,-0.308,0.298,16.37600000000001
이성규,우익수,0.152,40,33,5,5,0,0,3,7,1,6,9,1,0,0,0,0.3,0.424,0.724,5,삼성,2,8,2,0.588,0.294,5.538
이재현,유격수,0.357,31,28,9,10,2,0,1,6,0,3,4,0,0,0,0,0.419,0.536,0.955,6,삼성,7,1,0,0.852,0.348,5.927999999999998
강민호,포수,0.288,58,52,4,15,1,0,2,7,2,4,7,2,0,0,0,0.362,0.423,0.785,6,삼성,12,2,0,0.726,0.314,7.8740000000000006
김영웅,3루수,0.283,104,92,20,26,4,0,6,16,1,9,31,1,0,1,1,0.35,0.522,0.872,6,삼성,16,9,1,-0.308,0.298,18.072000000000003
류지혁,2루수,0.282,47,39,5,11,2,0,0,5,1,7,11,0,0,0,0,0.404,0.333,0.737,6,삼성,9,7,4,0.277,0.313,6.032
이성규,우익수,0.273,37,33,6,9,2,0,1,4,3,1,12,0,0,0,0,0.351,0.424,0.775,6,삼성,6,8,2,0.588,0.294,5.783999999999999
김헌곤,우익수,0.231,13,13,1,3,0,0,1,1,0,0,2,0,0,0,0,0.231,0.462,0.693,6,삼성,2,3,2,-0.013,0.288,1.424
윤정빈,우익수,0.219,37,32,3,7,1,0,2,3,0,4,12,0,0,0,1,0.297,0.438,0.735,6,삼성,4,1,2,0.025,0.211,4.524
김영웅,3루수,0.375,33,32,1,12,4,1,1,5,0,1,12,0,0,0,0,0.394,0.656,1.05,7,삼성,6,9,1,-0.308,0.298,8.103999999999997
윤정빈,우익수,0.35,23,20,3,7,0,0,1,3,0,3,4,0,0,0,0,0.435,0.5,0.935,7,삼성,6,1,2,0.025,0.211,3.7979999999999996
안주형,2루수,0.333,18,15,2,5,1,0,0,1,0,2,3,0,0,1,0,0.412,0.4,0.812,7,삼성,4,4,1,-0.34,0.211,2.9160000000000004
강민호,포수,0.333,41,39,5,13,2,0,1,8,0,1,6,0,0,0,1,0.341,0.462,0.803,7,삼성,10,2,0,0.726,0.314,6.5619999999999985
이성규,우익수,0.317,69,60,17,19,1,1,9,20,3,4,16,0,0,1,1,0.382,0.817,1.199,7,삼성,8,8,2,0.588,0.294,18.491999999999997
류지혁,2루수,0.292,55,48,4,14,0,0,0,5,1,4,11,1,0,1,1,0.352,0.292,0.644,7,삼성,14,7,4,0.277,0.313,5.571999999999999
