선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
구본혁,3루수,0.271,129,118,16,32,6,0,1,12,0,10,19,2,0,1,0,0.328,0.347,0.675,7,LG,25,5,4,0.336,0.276,유격수,12.688
구본혁,3루수,0.271,129,118,16,32,6,0,1,12,0,10,19,2,0,1,0,0.328,0.347,0.675,7,LG,25,5,4,-0.311,0.276,유격수,12.688
박동원,포수,0.253,103,87,8,22,3,0,3,12,0,15,21,2,0,1,0,0.363,0.391,0.754,7,LG,16,1,0,1.516,0.287,포수,13.042
박해민,중견수,0.25,43,40,3,10,3,0,0,5,0,1,11,0,0,2,0,0.268,0.325,0.593,7,LG,7,34,10,0.422,0.223,중견수,6.2120000000000015
신민재,2루수,0.25,15,12,0,3,0,0,0,3,0,3,2,0,0,0,0,0.4,0.25,0.65,7,LG,3,28,6,0.009,0.309,2루수,4.814000000000001
신민재,2루수,0.25,15,12,0,3,0,0,0,3,0,3,2,0,0,0,0,0.4,0.25,0.65,7,LG,3,28,6,-0.162,0.309,2루수,4.814000000000001
오지환,유격수,0.25,69,56,13,14,6,1,1,7,1,12,17,1,0,0,0,0.391,0.446,0.837,7,LG,6,12,3,0.838,0.235,유격수,11.133999999999999
김범석,0,0.182,14,11,2,2,0,0,1,1,1,2,4,1,0,0,0,0.357,0.455,0.812,7,LG,1,0,0,-0.034,0.233,,1.7479999999999998
김범석,0,0.182,14,11,2,2,0,0,1,1,1,2,4,1,0,0,0,0.357,0.455,0.812,7,LG,1,0,0,-0.096,0.233,,1.7479999999999998
신민재,2루수,0.333,25,21,6,7,0,0,0,1,0,4,2,1,1,0,0,0.44,0.333,0.773,8,LG,7,28,6,0.009,0.309,2루수,6.243999999999999
신민재,2루수,0.333,25,21,6,7,0,0,0,1,0,4,2,1,1,0,0,0.44,0.333,0.773,8,LG,7,28,6,-0.162,0.309,2루수,6.243999999999999
구본혁,3루수,0.273,79,66,10,18,4,0,0,14,0,10,9,1,0,0,3,0.354,0.333,0.687,8,LG,14,5,4,0.943,0.276,유격수,9.248000000000001
구본혁,3루수,0.273,79,66,10,18,4,0,0,14,0,10,9,1,0,0,3,0.354,0.333,0.687,8,LG,14,5,4,0.336,0.276,유격수,9.248000000000001
구본혁,3루수,0.273,79,66,10,18,4,0,0,14,0,10,9,1,0,0,3,0.354,0.333,0.687,8,LG,14,5,4,-0.311,0.276,유격수,9.248000000000001
박해민,중견수,0.243,122,103,16,25,3,2,1,9,3,13,19,0,0,2,1,0.342,0.34,0.682,8,LG,19,34,10,0.422,0.223,중견수,16.818
오지환,유격수,0.231,15,13,2,3,2,0,1,2,1,1,5,0,0,0,0,0.333,0.615,0.948,8,LG,0,12,3,0.838,0.235,유격수,3.8200000000000003
박동원,포수,0.214,32,28,2,6,2,0,1,7,0,3,5,1,0,0,1,0.281,0.393,0.674,8,LG,3,1,0,1.516,0.287,포수,3.5599999999999996
허도환,포수,0.154,37,26,5,4,0,0,0,3,3,5,11,0,0,3,0,0.353,0.154,0.507,8,LG,4,0,0,-0.215,0.316,포수,2.7720000000000002
박동원,포수,0.5,11,10,2,5,1,0,0,4,0,0,2,0,0,0,1,0.455,0.6,1.055,9,LG,4,1,0,1.516,0.287,포수,2.804
신민재,2루수,0.275,264,218,40,60,7,2,0,26,2,34,28,5,0,7,3,0.374,0.326,0.7,9,LG,51,28,6,0.009,0.309,2루수,33.076
신민재,2루수,0.275,264,218,40,60,7,2,0,26,2,34,28,5,0,7,3,0.374,0.326,0.7,9,LG,51,28,6,-0.162,0.309,2루수,33.076
김범석,0,0.267,15,15,0,4,0,0,0,0,0,0,3,0,0,0,0,0.267,0.267,0.534,9,LG,4,0,0,-0.034,0.233,,0.986
김범석,0,0.267,15,15,0,4,0,0,0,0,0,0,3,0,0,0,0,0.267,0.267,0.534,9,LG,4,0,0,-0.096,0.233,,0.986
박해민,중견수,0.263,20,19,3,5,0,0,1,2,1,0,4,0,0,0,0,0.3,0.421,0.721,9,LG,4,34,10,0.422,0.223,중견수,5.408
구본혁,3루수,0.24,27,25,3,6,0,0,0,2,1,1,3,0,0,0,0,0.296,0.24,0.536,9,LG,6,5,4,0.943,0.276,유격수,1.5659999999999998
구본혁,3루수,0.24,27,25,3,6,0,0,0,2,1,1,3,0,0,0,0,0.296,0.24,0.536,9,LG,6,5,4,0.336,0.276,유격수,1.5659999999999998
구본혁,3루수,0.24,27,25,3,6,0,0,0,2,1,1,3,0,0,0,0,0.296,0.24,0.536,9,LG,6,5,4,-0.311,0.276,유격수,1.5659999999999998
허도환,포수,0.211,23,19,2,4,1,0,0,4,2,0,5,0,0,2,0,0.286,0.263,0.549,9,LG,3,0,0,-0.215,0.316,포수,1.59
