선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
김도영,3루수,0.444,40,36,7,16,1,0,4,10,0,3,6,0,0,0,1,0.475,0.806,1.281,1,KIA,11,29,3,0.22,0.322,15.781999999999998
소크라테스,좌익수,0.368,42,38,13,14,4,0,4,10,0,4,7,0,0,0,0,0.429,0.789,1.218,1,KIA,6,8,2,-1.204,0.367,11.584
김선빈,2루수,0.333,11,9,3,3,1,0,0,0,1,1,1,3,0,0,0,0.455,0.444,0.899,1,KIA,2,3,0,-0.031,0.294,1.2820000000000005
이창진,좌익수,0.286,25,21,2,6,0,0,0,1,1,3,5,1,0,0,0,0.4,0.286,0.686,1,KIA,6,3,1,-0.124,0.147,2.8200000000000003
박찬호,유격수,0.283,249,230,38,65,10,0,2,19,1,13,25,4,0,3,2,0.321,0.352,0.673,1,KIA,53,15,10,1.197,0.315,25.17
서건창,2루수,0.267,79,60,13,16,3,0,0,7,0,16,10,1,0,2,1,0.416,0.317,0.733,1,KIA,13,3,1,-0.339,0.306,10.36
박찬호,유격수,0.421,24,19,7,8,1,1,0,5,0,5,0,1,0,0,0,0.542,0.579,1.121,2,KIA,6,15,10,1.197,0.315,4.6
최원준,중견수,0.349,97,86,19,30,4,0,3,12,1,7,14,2,0,2,1,0.4,0.5,0.9,2,KIA,23,17,8,0.153,0.333,16.477999999999998
김선빈,2루수,0.345,31,29,4,10,2,0,2,6,0,2,4,0,0,0,0,0.387,0.621,1.008,2,KIA,6,3,0,-0.031,0.294,6.797999999999999
김도영,3루수,0.336,168,149,34,50,7,2,9,22,3,13,29,0,1,1,2,0.395,0.591,0.986,2,KIA,32,29,3,0.22,0.322,37.328
이창진,좌익수,0.308,53,39,10,12,4,0,0,4,1,11,6,2,0,1,1,0.462,0.41,0.872,2,KIA,8,3,1,-0.124,0.147,8.371999999999996
소크라테스,좌익수,0.304,55,46,9,14,3,0,3,12,1,8,10,0,0,0,0,0.418,0.565,0.983,2,KIA,8,8,2,-1.204,0.367,11.379999999999999
김도영,3루수,0.347,199,170,53,59,11,2,11,37,1,26,32,2,4,0,2,0.432,0.629,1.061,3,KIA,35,29,3,0.22,0.322,46.174
나성범,우익수,0.231,122,104,14,24,2,1,5,21,0,18,29,3,1,0,0,0.344,0.413,0.757,3,KIA,16,0,0,-0.379,0.282,15.168000000000003
소크라테스,좌익수,0.2,54,50,6,10,3,0,1,3,0,4,8,1,0,0,0,0.259,0.32,0.579,3,KIA,6,8,2,-1.204,0.367,4.726
나성범,우익수,0.195,46,41,2,8,3,0,0,2,0,4,17,1,0,0,0,0.267,0.268,0.535,4,KIA,5,0,0,-0.379,0.282,2.5439999999999996
나성범,우익수,0.391,96,87,11,34,11,0,6,28,0,6,17,2,0,0,3,0.417,0.724,1.141,5,KIA,17,0,0,-0.379,0.282,22.564000000000004
소크라테스,좌익수,0.278,135,126,16,35,5,1,5,23,0,8,18,2,1,0,1,0.319,0.452,0.771,5,KIA,24,8,2,-1.204,0.367,18.566000000000003
김선빈,2루수,0.214,17,14,2,3,0,0,1,4,0,3,1,0,0,0,0,0.353,0.429,0.782,5,KIA,2,3,0,-0.031,0.294,3.0020000000000002
소크라테스,좌익수,0.358,102,95,16,34,3,0,7,20,2,4,18,0,2,0,1,0.392,0.611,1.003,6,KIA,24,8,2,-1.204,0.367,21.636000000000003
김선빈,2루수,0.3,144,130,13,39,6,0,3,16,3,9,16,3,0,1,0,0.359,0.415,0.774,6,KIA,30,3,0,-0.031,0.294,18.871999999999996
이창진,좌익수,0.182,16,11,3,2,1,0,0,0,0,3,2,1,0,2,0,0.357,0.273,0.63,6,KIA,1,3,1,-0.124,0.147,1.3440000000000007
소크라테스,좌익수,0.357,19,14,5,5,1,0,1,2,0,5,3,2,0,0,0,0.526,0.643,1.169,7,KIA,3,8,2,-1.204,0.367,4.5859999999999985
김선빈,2루수,0.29,80,69,9,20,1,0,0,5,1,9,5,3,0,1,0,0.38,0.304,0.684,7,KIA,19,3,0,-0.031,0.294,8.639999999999999
최원준,중견수,0.29,75,69,12,20,2,1,1,10,0,6,13,2,0,0,0,0.347,0.391,0.738,7,KIA,16,17,8,0.153,0.333,9.205999999999998
한준수,포수,0.286,23,21,2,6,1,0,0,0,1,1,3,0,1,0,0,0.348,0.333,0.681,7,KIA,5,0,0,0.202,0.268,2.4359999999999995
서건창,2루수,0.262,74,61,12,16,4,1,1,6,1,11,10,1,0,1,0,0.384,0.41,0.794,7,KIA,10,3,1,-0.339,0.306,10.2
변우혁,1루수,0.255,53,51,6,13,2,2,1,2,0,2,15,3,0,0,0,0.283,0.431,0.714,7,KIA,8,0,0,-0.16,0.292,4.989999999999998
이창진,좌익수,0.219,45,32,5,7,0,0,0,2,0,11,7,0,0,2,0,0.419,0.219,0.638,7,KIA,7,3,1,-0.124,0.147,5.234
한준수,포수,0.308,180,159,24,49,13,0,4,28,1,15,30,4,0,0,5,0.361,0.465,0.826,8,KIA,32,0,0,0.202,0.268,26.789999999999996
