선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
송성문,3루수,0.444,32,27,6,12,1,1,0,6,0,4,2,0,0,0,1,0.5,0.556,1.056,1,키움,10,9,0,0.868,0.387,8.743999999999998
송성문,3루수,0.444,32,27,6,12,1,1,0,6,0,4,2,0,0,0,1,0.5,0.556,1.056,1,키움,10,9,0,0.36,0.387,8.743999999999998
송성문,3루수,0.444,32,27,6,12,1,1,0,6,0,4,2,0,0,0,1,0.5,0.556,1.056,1,키움,10,9,0,-0.237,0.387,8.743999999999998
이주형,중견수,0.313,252,214,53,67,10,2,7,28,8,29,48,4,0,0,1,0.413,0.477,0.89,1,키움,48,0,0,0.18,0.266,41.216
이주형,중견수,0.313,252,214,53,67,10,2,7,28,8,29,48,4,0,0,1,0.413,0.477,0.89,1,키움,48,0,0,-0.055,0.266,41.216
이주형,중견수,0.313,252,214,53,67,10,2,7,28,8,29,48,4,0,0,1,0.413,0.477,0.89,1,키움,48,0,0,-0.163,0.266,41.216
이용규,좌익수,0.304,112,92,12,28,3,0,1,5,3,14,18,1,0,2,1,0.409,0.37,0.779,1,키움,24,2,2,0.117,0.182,15.275999999999998
이용규,좌익수,0.304,112,92,12,28,3,0,1,5,3,14,18,1,0,2,1,0.409,0.37,0.779,1,키움,24,2,2,-0.076,0.182,15.275999999999998
이용규,좌익수,0.304,112,92,12,28,3,0,1,5,3,14,18,1,0,2,1,0.409,0.37,0.779,1,키움,24,2,2,-0.113,0.182,15.275999999999998
김혜성,2루수,0.214,14,14,2,3,1,0,1,1,0,0,4,0,0,0,0,0.214,0.5,0.714,1,키움,1,24,5,1.46,0.415,4.3580000000000005
박수종,중견수,0.212,33,33,0,7,0,0,0,1,0,0,3,1,0,0,0,0.212,0.212,0.424,1,키움,7,1,0,-0.092,0.158,0.9460000000000003
박수종,중견수,0.212,33,33,0,7,0,0,0,1,0,0,3,1,0,0,0,0.212,0.212,0.424,1,키움,7,1,0,-0.171,0.158,0.9460000000000003
박수종,중견수,0.212,33,33,0,7,0,0,0,1,0,0,3,1,0,0,0,0.212,0.212,0.424,1,키움,7,1,0,-0.261,0.158,0.9460000000000003
고영우,3루수,0.115,28,26,3,3,0,0,0,2,0,2,11,0,0,0,0,0.179,0.115,0.294,1,키움,3,0,0,0.084,0.34,0.02200000000000002
고영우,3루수,0.115,28,26,3,3,0,0,0,2,0,2,11,0,0,0,0,0.179,0.115,0.294,1,키움,3,0,0,-0.129,0.34,0.02200000000000002
고영우,3루수,0.115,28,26,3,3,0,0,0,2,0,2,11,0,0,0,0,0.179,0.115,0.294,1,키움,3,0,0,-0.64,0.34,0.02200000000000002
김혜성,2루수,0.545,11,11,3,6,1,0,0,5,0,0,1,0,0,0,0,0.545,0.636,1.181,2,키움,5,24,5,1.46,0.415,5.481999999999999
송성문,3루수,0.222,19,18,1,4,0,0,1,1,0,1,4,0,0,0,0,0.263,0.389,0.652,2,키움,3,9,0,0.868,0.387,3.6079999999999997
송성문,3루수,0.222,19,18,1,4,0,0,1,1,0,1,4,0,0,0,0,0.263,0.389,0.652,2,키움,3,9,0,0.36,0.387,3.6079999999999997
송성문,3루수,0.222,19,18,1,4,0,0,1,1,0,1,4,0,0,0,0,0.263,0.389,0.652,2,키움,3,9,0,-0.237,0.387,3.6079999999999997
송성문,3루수,0.352,102,91,15,32,7,0,2,21,1,9,18,3,0,0,1,0.412,0.495,0.907,3,키움,23,9,0,0.868,0.387,18.246000000000002
송성문,3루수,0.352,102,91,15,32,7,0,2,21,1,9,18,3,0,0,1,0.412,0.495,0.907,3,키움,23,9,0,0.36,0.387,18.246000000000002
송성문,3루수,0.352,102,91,15,32,7,0,2,21,1,9,18,3,0,0,1,0.412,0.495,0.907,3,키움,23,9,0,-0.237,0.387,18.246000000000002
