¼±¼ö¸í,Æ÷Áö¼Ç,Å¸À²,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,Å¸Á¡,»ç±¸,º¼³Ý,»ïÁø,º´»ìÅ¸,°íÀÇ4±¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,Ãâ·çÀ²,ÀåÅ¸À²,OPS,Å¸¼ø,ÆÀ¸í,1·çÅ¸,µµ·çÇã¿ë,µµ·çÀúÁö,¼öºñ ½Â¸® ±â¿©µµ,µæÁ¡±ÇÅ¸À²,ÃßÁ¤µæÁ¡
È²¼ººó,ÁÂÀÍ¼ö,0.286,182,161,36,46,2,2,1,7,2,15,25,2,0,3,1,0.352,0.342,0.694,1,·Ôµ¥,41,37,5,-0.546,0.256,25.500000000000007
À±µ¿Èñ,Áß°ß¼ö,0.283,206,180,38,51,14,1,3,21,0,24,33,3,0,0,2,0.364,0.422,0.786,1,·Ôµ¥,33,5,3,0.177,0.333,27.79599999999999
È²¼ººó,ÁÂÀÍ¼ö,0.542,27,24,9,13,0,2,3,8,0,3,3,0,0,0,0,0.593,1.083,1.676,2,·Ôµ¥,8,37,5,-0.546,0.256,15.465999999999996
À±µ¿Èñ,Áß°ß¼ö,0.359,122,103,21,37,6,2,1,19,2,14,20,1,0,2,1,0.442,0.485,0.927,2,·Ôµ¥,28,5,3,0.177,0.333,21.199999999999996
³ª½Â¿±,1·ç¼ö,0.3,11,10,1,3,0,0,0,1,0,1,2,0,0,0,0,0.364,0.3,0.664,2,·Ôµ¥,3,0,0,-1.101,0.321,1.1940000000000002
°í½Â¹Î,2·ç¼ö,0.276,160,145,29,40,10,1,4,17,1,14,26,2,0,0,0,0.344,0.441,0.785,2,·Ôµ¥,25,4,2,0.119,0.348,21.282
Á¤ÈÆ,1·ç¼ö,0.222,52,45,7,10,3,0,2,4,0,7,9,1,0,0,0,0.327,0.422,0.749,2,·Ôµ¥,5,1,1,-0.342,0.277,6.188
·¹ÀÌ¿¹½º,¿ìÀÍ¼ö,0.335,176,158,24,53,9,1,5,29,1,14,24,5,0,0,3,0.386,0.5,0.886,3,·Ôµ¥,38,4,0,-0.228,0.423,29.157999999999998
°í½Â¹Î,2·ç¼ö,0.315,104,89,15,28,3,0,2,23,0,12,17,2,0,0,3,0.385,0.416,0.801,3,·Ôµ¥,23,4,2,0.119,0.348,15.443999999999994
¼ÕÈ£¿µ,3·ç¼ö,0.28,55,50,8,14,1,0,3,12,2,3,8,0,1,0,0,0.345,0.48,0.825,3,·Ôµ¥,10,6,4,-0.394,0.368,8.145999999999999
³ª½Â¿±,1·ç¼ö,0.25,13,12,1,3,2,0,0,2,0,1,1,1,0,0,0,0.308,0.417,0.725,3,·Ôµ¥,1,0,0,-1.101,0.321,1.0919999999999996
·¹ÀÌ¿¹½º,¿ìÀÍ¼ö,0.376,223,205,30,77,15,1,5,49,0,14,31,4,0,0,4,0.408,0.532,0.94,4,·Ôµ¥,56,4,0,-0.228,0.423,40.751999999999995
³ª½Â¿±,1·ç¼ö,0.336,139,119,19,40,13,2,1,20,0,19,26,1,0,0,1,0.424,0.504,0.928,5,·Ôµ¥,24,0,0,-1.101,0.321,24.022
