¼±¼ö¸í,Æ÷Áö¼Ç,Å¸À²,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,Å¸Á¡,»ç±¸,º¼³Ý,»ïÁø,º´»ìÅ¸,°íÀÇ4±¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,Ãâ·çÀ²,ÀåÅ¸À²,OPS,Å¸¼ø,ÆÀ¸í,1·çÅ¸,µµ·çÇã¿ë,µµ·çÀúÁö,¼öºñ ½Â¸® ±â¿©µµ,µæÁ¡±ÇÅ¸À²,ÃßÁ¤µæÁ¡
¼ÕÈ£¿µ,3·ç¼ö,0.333,66,60,13,20,5,1,3,13,1,4,10,2,0,0,1,0.379,0.6,0.979,5,·Ôµ¥,11,6,4,-0.394,0.368,11.910000000000002
Á¤ÈÆ,1·ç¼ö,0.29,73,69,4,20,6,0,1,11,0,4,16,0,0,0,0,0.329,0.42,0.749,5,·Ôµ¥,13,1,1,-0.342,0.277,8.941999999999998
³ëÁøÇõ,À¯°Ý¼ö,0.143,33,28,2,4,1,0,0,2,0,4,8,0,0,0,1,0.242,0.179,0.421,5,·Ôµ¥,3,0,0,-0.062,0.2,1.726
¼ÕÈ£¿µ,3·ç¼ö,0.37,55,54,8,20,5,1,2,11,1,0,8,0,0,0,0,0.382,0.611,0.993,6,·Ôµ¥,12,6,4,-0.394,0.368,10.536
¹Ú½Â¿í,3·ç¼ö,0.333,27,24,4,8,2,0,1,5,1,2,6,0,0,0,0,0.407,0.542,0.949,6,·Ôµ¥,5,1,4,0.094,0.237,3.8120000000000003
Á¤ÈÆ,1·ç¼ö,0.286,51,42,6,12,2,0,2,8,0,6,10,1,0,1,2,0.36,0.476,0.836,6,·Ôµ¥,8,1,1,-0.342,0.277,7.849999999999998
³ª½Â¿±,1·ç¼ö,0.269,83,67,9,18,3,1,2,10,2,12,15,0,0,0,2,0.386,0.433,0.819,6,·Ôµ¥,12,0,0,-1.101,0.321,13.049999999999999
À±µ¿Èñ,Áß°ß¼ö,0.241,33,29,3,7,1,0,1,5,0,4,6,2,0,0,0,0.333,0.379,0.712,6,·Ôµ¥,5,5,3,0.177,0.333,3.1919999999999993
³ëÁøÇõ,À¯°Ý¼ö,0.231,14,13,0,3,1,0,0,0,1,0,3,0,0,0,0,0.286,0.308,0.594,6,·Ôµ¥,2,0,0,-0.062,0.2,1.1360000000000001
À±µ¿Èñ,Áß°ß¼ö,0.455,11,11,2,5,3,0,1,1,0,0,2,0,0,0,0,0.455,1.0,1.455,7,·Ôµ¥,1,5,3,0.177,0.333,3.484
³ª½Â¿±,1·ç¼ö,0.333,24,21,2,7,3,0,0,0,0,3,6,0,0,0,0,0.417,0.476,0.893,7,·Ôµ¥,4,0,0,-1.101,0.321,3.872
Á¤ÈÆ,1·ç¼ö,0.233,35,30,5,7,2,0,2,8,0,5,4,0,0,0,0,0.343,0.5,0.843,7,·Ôµ¥,3,1,1,-0.342,0.277,5.278
³ëÁøÇõ,À¯°Ý¼ö,0.222,21,18,1,4,0,0,0,3,0,2,7,0,0,1,0,0.3,0.222,0.522,7,·Ôµ¥,4,0,0,-0.062,0.2,1.4040000000000004
¹Ú½Â¿í,3·ç¼ö,0.217,82,69,10,15,2,0,2,11,2,8,25,0,1,2,1,0.313,0.333,0.646,7,·Ôµ¥,11,1,4,0.094,0.237,7.420000000000002
ÃÖÇ×,2·ç¼ö,0.167,53,48,3,8,1,1,0,4,0,5,14,0,0,0,0,0.245,0.229,0.474,7,·Ôµ¥,6,0,1,0.452,0.244,2.428
°í½Â¹Î,2·ç¼ö,0.118,18,17,0,2,0,0,0,0,0,1,5,0,0,0,0,0.167,0.118,0.285,7,·Ôµ¥,2,4,2,0.119,0.348,0.030000000000000027
¼ÕÈ£¿µ,3·ç¼ö,0.1,13,10,2,1,0,0,0,0,0,2,3,0,0,1,0,0.25,0.1,0.35,7,·Ôµ¥,1,6,4,-0.394,0.368,0.18600000000000014
¹Ú½Â¿í,3·ç¼ö,0.25,78,68,8,17,6,0,1,10,3,7,18,1,1,0,0,0.346,0.382,0.728,8,·Ôµ¥,10,1,4,0.094,0.237,7.8660000000000005
¼Õ¼ººó,Æ÷¼ö,0.205,41,39,6,8,0,2,2,4,0,2,10,2,0,0,0,0.244,0.462,0.706,8,·Ôµ¥,4,0,0,0.184,0.13,4.029999999999999
Á¤º¸±Ù,Æ÷¼ö,0.204,51,49,4,10,0,0,2,3,0,0,9,2,0,2,0,0.204,0.327,0.531,8,·Ôµ¥,8,0,0,0.055,0.222,2.638
ÃÖÇ×,2·ç¼ö,0.194,32,31,1,6,0,0,0,3,0,1,9,2,0,0,0,0.219,0.194,0.413,8,·Ôµ¥,6,0,1,0.452,0.244,-0.041999999999999926
³ëÁøÇõ,À¯°Ý¼ö,0.0,12,10,0,0,0,0,0,0,0,2,2,1,0,0,0,0.167,0.0,0.167,8,·Ôµ¥,0,0,0,-0.062,0.2,-0.6059999999999999
ÃÖÇ×,2·ç¼ö,0.476,22,21,4,10,0,0,0,4,0,1,4,1,0,0,0,0.5,0.476,0.976,9,·Ôµ¥,10,0,1,0.452,0.244,3.6279999999999997
È²¼ººó,ÁÂÀÍ¼ö,0.407,28,27,4,11,2,0,0,2,0,0,1,0,0,1,0,0.407,0.481,0.888,9,·Ôµ¥,9,37,5,-0.546,0.256,9.591999999999999
¹Ú½Â¿í,3·ç¼ö,0.276,84,76,6,21,2,1,0,5,1,7,23,3,0,0,0,0.345,0.329,0.674,9,·Ôµ¥,18,1,4,0.094,0.237,6.856000000000003
Á¤º¸±Ù,Æ÷¼ö,0.231,28,26,1,6,0,0,0,1,0,2,7,1,0,0,0,0.286,0.231,0.517,9,·Ôµ¥,6,0,0,0.055,0.222,1.4540000000000002
³ëÁøÇõ,À¯°Ý¼ö,0.2,12,10,2,2,1,0,0,3,0,1,2,0,0,0,1,0.25,0.3,0.55,9,·Ôµ¥,1,0,0,-0.062,0.2,1.194
¼Õ¼ººó,Æ÷¼ö,0.189,41,37,6,7,3,0,1,4,0,4,10,1,0,0,0,0.268,0.351,0.619,9,·Ôµ¥,3,0,0,0.184,0.13,3.31
