선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
박성한,유격수,0.286,36,28,5,8,2,0,0,5,0,6,3,0,0,0,2,0.389,0.357,0.746,1,SSG,6,10,2,1.218,0.284,6.555999999999999
최지훈,중견수,0.269,371,324,60,87,16,5,5,34,1,41,52,4,0,3,2,0.351,0.395,0.746,1,SSG,61,30,5,-0.327,0.241,50.13400000000002
박지환,유격수,0.235,37,34,5,8,0,0,0,0,0,2,11,1,0,1,0,0.278,0.235,0.513,1,SSG,8,7,2,0.051,0.353,2.542
에레디아,좌익수,0.333,12,9,2,3,0,0,1,4,0,3,0,1,1,0,0,0.5,0.667,1.167,2,SSG,2,3,3,-0.458,0.427,2.04
최지훈,중견수,0.333,22,21,3,7,1,0,1,2,0,0,4,1,0,1,0,0.333,0.524,0.857,2,SSG,5,30,5,-0.327,0.241,6.837999999999998
박성한,유격수,0.302,174,149,24,45,10,0,3,17,1,22,21,3,1,2,0,0.395,0.43,0.825,2,SSG,32,10,2,1.218,0.284,25.851999999999997
김성현,2루수,0.1,12,10,2,1,0,0,0,0,1,1,2,0,0,0,0,0.25,0.1,0.35,2,SSG,1,2,0,0.368,0.227,0.714
에레디아,좌익수,0.407,31,27,5,11,0,0,3,12,1,3,5,0,0,0,0,0.484,0.741,1.225,3,SSG,8,3,3,-0.458,0.427,7.779999999999998
박성한,유격수,0.313,18,16,6,5,1,0,0,2,0,2,2,0,0,0,0,0.389,0.375,0.764,3,SSG,4,10,2,1.218,0.284,3.5539999999999994
최정,3루수,0.29,348,290,58,84,18,1,24,72,16,37,66,8,1,0,5,0.394,0.607,1.001,3,SSG,41,5,1,-0.294,0.271,67.39200000000002
에레디아,좌익수,0.353,277,255,32,90,14,1,5,53,7,9,29,6,1,0,6,0.383,0.475,0.858,4,SSG,70,3,3,-0.458,0.427,43.16799999999999
하재훈,좌익수,0.267,30,30,3,8,1,0,1,3,0,0,9,0,0,0,0,0.267,0.4,0.667,4,SSG,6,6,0,-1.873,0.18,4.188000000000001
한유섬,우익수,0.232,107,99,12,23,7,0,4,15,2,6,36,0,0,0,0,0.29,0.424,0.714,4,SSG,12,0,1,-0.565,0.278,12.071999999999996
박성한,유격수,0.4,21,15,8,6,1,0,0,4,0,4,1,1,1,1,1,0.5,0.467,0.967,5,SSG,5,10,2,1.218,0.284,4.872000000000001
에레디아,좌익수,0.388,51,49,9,19,4,0,1,5,0,2,9,1,0,0,0,0.412,0.531,0.943,5,SSG,14,3,3,-0.458,0.427,8.437999999999999
이지영,포수,0.25,18,16,2,4,1,0,0,1,0,1,1,1,0,1,0,0.294,0.313,0.607,5,SSG,3,5,1,1.204,0.237,1.7219999999999995
하재훈,좌익수,0.231,30,26,3,6,3,0,0,5,1,2,10,1,0,0,1,0.3,0.346,0.646,5,SSG,3,6,0,-1.873,0.18,3.8799999999999994
한유섬,우익수,0.229,192,166,24,38,8,0,10,34,5,20,55,1,3,0,1,0.328,0.458,0.786,5,SSG,20,0,1,-0.565,0.278,26.11
고명준,1루수,0.193,62,57,3,11,2,0,0,2,0,5,17,0,0,0,0,0.258,0.228,0.486,5,SSG,9,1,4,-0.014,0.313,2.2639999999999993
하재훈,좌익수,0.367,34,30,4,11,1,0,2,4,0,2,9,1,0,1,1,0.394,0.6,0.994,6,SSG,8,6,0,-1.873,0.18,7.617999999999999
이지영,포수,0.31,90,84,9,26,1,0,1,9,2,3,10,3,0,1,0,0.348,0.357,0.705,6,SSG,24,5,1,1.204,0.237,10.069999999999997
박성한,유격수,0.308,117,104,15,32,3,0,3,15,0,11,19,1,1,0,2,0.368,0.423,0.791,6,SSG,26,10,2,1.218,0.284,18.028
고명준,1루수,0.245,51,49,5,12,4,0,2,9,0,2,17,2,0,0,0,0.275,0.449,0.724,6,SSG,6,1,4,-0.014,0.313,4.1339999999999995
김민식,포수,0.176,21,17,0,3,0,0,0,1,0,3,7,0,0,1,0,0.3,0.176,0.476,6,SSG,3,0,0,-0.087,0.25,1.2440000000000002
김민식,포수,0.333,25,21,1,7,1,0,0,2,0,4,4,2,0,0,0,0.44,0.381,0.821,7,SSG,6,0,0,-0.087,0.25,3.048
고명준,1루수,0.294,132,126,14,37,5,0,3,16,0,6,29,2,0,0,0,0.326,0.405,0.731,7,SSG,29,1,4,-0.014,0.313,14.378
이지영,포수,0.289,41,38,6,11,2,1,1,7,0,2,5,1,0,0,1,0.317,0.474,0.791,7,SSG,7,5,1,1.204,0.237,6.209999999999999
한유섬,우익수,0.25,14,12,2,3,1,0,0,1,0,2,2,0,0,0,0,0.357,0.333,0.69,7,SSG,2,0,1,-0.565,0.278,1.2540000000000002
김성현,2루수,0.25,14,12,3,3,1,0,0,2,0,2,1,1,0,0,0,0.357,0.333,0.69,7,SSG,2,2,0,0.368,0.227,1.572
박성한,유격수,0.25,24,24,1,6,0,0,0,1,0,0,6,1,0,0,0,0.25,0.25,0.5,7,SSG,6,10,2,1.218,0.284,2.122
하재훈,좌익수,0.189,39,37,5,7,2,0,1,4,0,2,13,1,0,0,0,0.231,0.324,0.555,7,SSG,4,6,0,-1.873,0.18,3.4659999999999993
전의산,1루수,0.063,18,16,1,1,0,0,1,1,0,2,3,1,0,0,0,0.167,0.25,0.417,7,SSG,0,0,1,-0.265,0.0,0.05599999999999994
정준재,2루수,0.333,22,21,3,7,1,0,0,0,0,1,4,1,0,0,0,0.364,0.381,0.745,8,SSG,6,7,4,0.261,0.269,2.3779999999999992
김민식,포수,0.275,46,40,7,11,4,0,1,7,0,6,8,0,0,0,0,0.37,0.45,0.82,8,SSG,6,0,0,-0.087,0.25,6.686
김성현,2루수,0.267,19,15,2,4,1,0,0,4,0,4,2,1,0,0,0,0.421,0.333,0.754,8,SSG,3,2,0,0.368,0.227,2.5639999999999996
하재훈,좌익수,0.255,52,47,4,12,4,0,0,5,0,3,9,1,0,0,2,0.288,0.34,0.628,8,SSG,8,6,0,-1.873,0.18,6.128000000000001
고명준,1루수,0.25,55,52,6,13,1,0,5,12,0,3,14,0,0,0,0,0.291,0.558,0.849,8,SSG,7,1,4,-0.014,0.313,7.717999999999998
이지영,포수,0.24,104,96,9,23,0,0,0,8,1,4,5,1,0,2,1,0.275,0.24,0.515,8,SSG,23,5,1,1.204,0.237,7.249999999999999
정준재,2루수,0.381,48,42,11,16,1,1,0,5,0,6,13,0,0,0,0,0.458,0.452,0.91,9,SSG,14,7,4,0.261,0.269,8.336000000000002
최지훈,중견수,0.357,15,14,1,5,0,1,0,0,0,1,2,0,0,0,0,0.4,0.5,0.9,9,SSG,4,30,5,-0.327,0.241,6.354
박지환,유격수,0.35,68,60,11,21,4,2,2,10,2,5,14,0,0,1,0,0.418,0.583,1.001,9,SSG,13,7,2,0.051,0.353,13.758
김성현,2루수,0.267,34,30,5,8,0,0,0,1,2,0,4,2,0,2,0,0.313,0.267,0.58,9,SSG,8,2,0,0.368,0.227,2.3680000000000003
