선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
박성한,유격수,0.286,36,28,5,8,2,0,0,5,0,6,3,0,0,0,2,0.389,0.357,0.746,1,SSG,6,10,2,1.194,0.282,6.555999999999999
최지훈,중견수,0.267,376,329,61,88,16,6,5,35,1,41,52,4,0,3,2,0.349,0.398,0.747,1,SSG,61,30,5,-0.279,0.239,50.814000000000014
박지환,유격수,0.235,37,34,5,8,0,0,0,0,0,2,11,1,0,1,0,0.278,0.235,0.513,1,SSG,8,7,2,0.052,0.353,2.542
에레디아,좌익수,0.333,12,9,2,3,0,0,1,4,0,3,0,1,1,0,0,0.5,0.667,1.167,2,SSG,2,3,3,-0.427,0.429,2.04
최지훈,중견수,0.333,22,21,3,7,1,0,1,2,0,0,4,1,0,1,0,0.333,0.524,0.857,2,SSG,5,30,5,-0.279,0.239,6.837999999999998
박성한,유격수,0.302,174,149,24,45,10,0,3,17,1,22,21,3,1,2,0,0.395,0.43,0.825,2,SSG,32,10,2,1.194,0.282,25.851999999999997
김성현,2루수,0.1,12,10,2,1,0,0,0,0,1,1,2,0,0,0,0,0.25,0.1,0.35,2,SSG,1,2,0,0.374,0.227,0.714
에레디아,좌익수,0.407,31,27,5,11,0,0,3,12,1,3,5,0,0,0,0,0.484,0.741,1.225,3,SSG,8,3,3,-0.427,0.429,7.779999999999998
박성한,유격수,0.313,18,16,6,5,1,0,0,2,0,2,2,0,0,0,0,0.389,0.375,0.764,3,SSG,4,10,2,1.194,0.282,3.5539999999999994
최정,3루수,0.29,352,293,59,85,18,1,24,72,16,38,66,8,1,0,5,0.395,0.604,0.999,3,SSG,42,5,1,-0.264,0.268,68.052
에레디아,좌익수,0.353,281,258,32,91,14,1,5,54,8,9,30,6,1,0,6,0.384,0.473,0.857,4,SSG,71,3,3,-0.427,0.429,43.81999999999999
하재훈,좌익수,0.267,30,30,3,8,1,0,1,3,0,0,9,0,0,0,0,0.267,0.4,0.667,4,SSG,6,6,0,-1.874,0.18,4.188000000000001
한유섬,우익수,0.232,107,99,12,23,7,0,4,15,2,6,36,0,0,0,0,0.29,0.424,0.714,4,SSG,12,0,1,-0.621,0.275,12.071999999999996
박성한,유격수,0.4,21,15,8,6,1,0,0,4,0,4,1,1,1,1,1,0.5,0.467,0.967,5,SSG,5,10,2,1.194,0.282,4.872000000000001
에레디아,좌익수,0.388,51,49,9,19,4,0,1,5,0,2,9,1,0,0,0,0.412,0.531,0.943,5,SSG,14,3,3,-0.427,0.429,8.437999999999999
이지영,포수,0.25,18,16,2,4,1,0,0,1,0,1,1,1,0,1,0,0.294,0.313,0.607,5,SSG,3,5,1,1.191,0.234,1.7219999999999995
하재훈,좌익수,0.231,30,26,3,6,3,0,0,5,1,2,10,1,0,0,1,0.3,0.346,0.646,5,SSG,3,6,0,-1.874,0.18,3.8799999999999994
한유섬,우익수,0.224,196,170,24,38,8,0,10,34,5,20,55,1,3,0,1,0.321,0.447,0.768,5,SSG,20,0,1,-0.621,0.275,25.75
고명준,1루수,0.193,62,57,3,11,2,0,0,2,0,5,17,0,0,0,0,0.258,0.228,0.486,5,SSG,9,1,4,-0.016,0.313,2.2639999999999993
하재훈,좌익수,0.367,34,30,4,11,1,0,2,4,0,2,9,1,0,1,1,0.394,0.6,0.994,6,SSG,8,6,0,-1.874,0.18,7.617999999999999
이지영,포수,0.31,90,84,9,26,1,0,1,9,2,3,10,3,0,1,0,0.348,0.357,0.705,6,SSG,24,5,1,1.191,0.234,10.069999999999997
