선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
김도영,3루수,0.444,40,36,7,16,1,0,4,10,0,3,6,0,0,0,1,0.475,0.806,1.281,1,KIA,11,29,3,0.434,0.337,15.781999999999998
소크라테스,좌익수,0.356,50,45,16,16,4,0,4,10,0,5,8,0,0,0,0,0.42,0.711,1.131,1,KIA,8,9,2,-1.162,0.353,12.645999999999997
김선빈,2루수,0.333,11,9,3,3,1,0,0,0,1,1,1,3,0,0,0,0.455,0.444,0.899,1,KIA,2,3,0,-0.034,0.286,1.2820000000000005
이창진,좌익수,0.286,25,21,2,6,0,0,0,1,1,3,5,1,0,0,0,0.4,0.286,0.686,1,KIA,6,3,1,-0.149,0.143,2.8200000000000003
박찬호,유격수,0.283,249,230,38,65,10,0,2,19,1,13,25,4,0,3,2,0.321,0.352,0.673,1,KIA,53,15,10,1.26,0.309,25.17
서건창,2루수,0.267,79,60,13,16,3,0,0,7,0,16,10,1,0,2,1,0.416,0.317,0.733,1,KIA,13,3,1,-0.341,0.306,10.36
박찬호,유격수,0.421,24,19,7,8,1,1,0,5,0,5,0,1,0,0,0,0.542,0.579,1.121,2,KIA,6,15,10,1.26,0.309,4.6
서건창,2루수,0.4,12,10,2,4,0,0,0,0,0,2,2,0,0,0,0,0.5,0.4,0.9,2,KIA,4,3,1,-0.341,0.306,2.3440000000000003
최원준,중견수,0.352,100,88,19,31,4,0,3,14,1,8,14,2,0,2,1,0.408,0.5,0.908,2,KIA,24,17,8,0.201,0.349,17.227999999999998
김선빈,2루수,0.345,31,29,4,10,2,0,2,6,0,2,4,0,0,0,0,0.387,0.621,1.008,2,KIA,6,3,0,-0.034,0.286,6.797999999999999
김도영,3루수,0.336,168,149,34,50,7,2,9,22,3,13,29,0,1,1,2,0.395,0.591,0.986,2,KIA,32,29,3,0.434,0.337,37.328
소크라테스,좌익수,0.304,55,46,9,14,3,0,3,12,1,8,10,0,0,0,0,0.418,0.565,0.983,2,KIA,8,9,2,-1.162,0.353,11.559999999999999
이창진,좌익수,0.293,56,41,11,12,4,0,0,4,1,12,6,2,0,1,1,0.455,0.39,0.845,2,KIA,8,3,1,-0.149,0.143,8.531999999999996
김도영,3루수,0.36,207,178,56,64,12,3,12,40,1,26,34,2,4,0,2,0.44,0.663,1.103,3,KIA,37,29,3,0.434,0.337,50.088
나성범,우익수,0.231,122,104,14,24,2,1,5,21,0,18,29,3,1,0,0,0.344,0.413,0.757,3,KIA,16,0,0,-0.359,0.288,15.168000000000003
소크라테스,좌익수,0.2,54,50,6,10,3,0,1,3,0,4,8,1,0,0,0,0.259,0.32,0.579,3,KIA,6,9,2,-1.162,0.353,4.906
나성범,우익수,0.195,46,41,2,8,3,0,0,2,0,4,17,1,0,0,0,0.267,0.268,0.535,4,KIA,5,0,0,-0.359,0.288,2.5439999999999996
나성범,우익수,0.38,103,92,13,35,11,0,6,30,0,7,17,2,0,0,4,0.408,0.696,1.104,5,KIA,18,0,0,-0.359,0.288,23.414000000000005
소크라테스,좌익수,0.278,135,126,16,35,5,1,5,23,0,8,18,2,1,0,1,0.319,0.452,0.771,5,KIA,24,9,2,-1.162,0.353,18.746000000000002
김선빈,2루수,0.214,17,14,2,3,0,0,1,4,0,3,1,0,0,0,0,0.353,0.429,0.782,5,KIA,2,3,0,-0.034,0.286,3.0020000000000002
