선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
최형우,0,0.277,404,354,57,98,20,1,18,88,5,43,72,4,3,0,2,0.361,0.492,0.853,4,KIA,59,1,1,-0.408,0.336,,62.414000000000016
나성범,우익수,0.178,51,45,2,8,3,0,0,2,0,5,19,1,0,0,0,0.26,0.244,0.504,4,KIA,5,0,0,-0.438,0.288,우익수,2.508
나성범,우익수,0.379,129,116,17,44,11,0,8,33,0,9,23,2,0,0,4,0.411,0.681,1.092,5,KIA,25,0,0,-0.438,0.288,우익수,29.076
소크라테스,좌익수,0.285,139,130,16,37,5,1,5,23,0,8,20,2,1,0,1,0.324,0.454,0.778,5,KIA,26,9,3,0.069,0.34,좌익수,19.23
소크라테스,좌익수,0.285,139,130,16,37,5,1,5,23,0,8,20,2,1,0,1,0.324,0.454,0.778,5,KIA,26,9,3,-0.032,0.34,좌익수,19.23
소크라테스,좌익수,0.285,139,130,16,37,5,1,5,23,0,8,20,2,1,0,1,0.324,0.454,0.778,5,KIA,26,9,3,-1.164,0.34,좌익수,19.23
김선빈,2루수,0.176,22,17,2,3,0,0,1,4,0,5,1,0,0,0,0,0.364,0.353,0.717,5,KIA,2,3,0,-0.025,0.28,2루수,3.412000000000001
김선빈,2루수,0.176,22,17,2,3,0,0,1,4,0,5,1,0,0,0,0,0.364,0.353,0.717,5,KIA,2,3,0,-0.178,0.28,2루수,3.412000000000001
김선빈,2루수,0.176,22,17,2,3,0,0,1,4,0,5,1,0,0,0,0,0.364,0.353,0.717,5,KIA,2,3,0,0.0,0.28,2루수,3.412000000000001
김선빈,2루수,0.176,22,17,2,3,0,0,1,4,0,5,1,0,0,0,0,0.364,0.353,0.717,5,KIA,2,3,0,0.0,0.28,2루수,3.412000000000001
소크라테스,좌익수,0.358,102,95,16,34,3,0,7,20,2,4,18,0,2,0,1,0.392,0.611,1.003,6,KIA,24,9,3,0.069,0.34,좌익수,21.496000000000002
